lords;5;
house;4;
commons;1;
government's;1;
legislative;1;
programme;1;
focus;3;
economic;1;
growth;1;
justice;1;
constitutional;10;
reform;1;
ministers';1;
priority;4;
reduce;1;
deficit;1;
restore;3;
stability;3;
legislation;9;
introduced;5;
burdens;4;
business;2;
repealing;1;
unnecessary;1;
limit;1;
inspection;9;
businesses;1;
government;1;
introduce;1;
competition;19;
law;5;
promote;9;
enterprise;10;
fair;1;
markets;4;
establish;2;
green;1;
investment;3;
bank;1;
measures;19;
brought;5;
forward;9;
strengthen;4;
regulation;1;
financial;1;
services;1;
sector;7;
implement;3;
recommendations;7;
independent;4;
commission;1;
banking;2;
adjudicator;2;
ensure;1;
supermarkets;1;
deal;2;
fairly;3;
lawfully;3;
suppliers;1;
bill;19;
charities;5;
enabling;9;
claim;4;
additional;3;
payments;1;
donations;2;
propose;1;
electricity;1;
market;1;
deliver;1;
secure;1;
clean;6;
affordable;5;
prices;4;
draft;2;
published;1;
water;1;
industry;1;
england;1;
wales;1;
bring;1;
modernise;19;
pension;2;
system;10;
creating;2;
simple;1;
sustainable;1;
foundation;2;
private;1;
saving;1;
public;2;
service;2;
pensions;1;
line;3;
setting;4;
close;6;
audit;3;
arrangements;10;
local;1;
bodies;1;
strive;2;
improve;2;
lives;19;
children;3;
families;7;
provision;7;
disabled;2;
special;2;
educational;1;
proposed;10;
support;2;
involved;1;
family;3;
court;1;
processes;1;
care;1;
role;1;
children's;1;
commissioner;9;
parental;5;
leave;10;
flexible;5;
parents;3;
share;2;
parenting;1;
responsibilities;2;
balance;3;
commitments;3;
adult;5;
continue;3;
fifteen;2;
commonwealth;4;
realms;6;
rules;3;
governing;1;
succession;7;
crown;1;
individual;2;
registration;3;
electors;4;
administration;2;
elections;2;
composition;1;
constructively;5;
co-operatively;1;
devolved;19;
institutions;1;
estimates;3;
laid;1;
committed;5;
reducing;1;
preventing;19;
crime;2;
national;7;
agency;3;
tackle;1;
serious;1;
organised;5;
border;5;
security;1;
courts;1;
tribunals;2;
reformed;2;
increase;4;
efficiency;5;
transparency;1;
judicial;3;
diversity;4;
protect;10;
freedom;1;
speech;1;
defamation;5;
oversight;2;
intelligence;4;
agencies;1;
allow;1;
limited;1;
closed;7;
proceedings;2;
hear;1;
range;1;
evidence;1;
intends;1;
maintain;1;
ability;1;
enforcement;1;
access;1;
vital;3;
communications;1;
data;4;
strict;6;
safeguards;3;
subject;2;
scrutiny;1;
clauses;2;
seek;4;
approval;2;
parliament;19;
relating;3;
agreed;1;
mechanism;2;
euro;1;
anticipated;7;
accession;10;
croatia;1;
european;1;
union;1;
stable;1;
afghanistan;9;
threat;3;
nuclear;7;
proliferation;5;
including;1;
iran;1;
horn;1;
africa;3;
middle;1;
east;1;
north;6;
extension;3;
political;7;
countries;10;
transition;1;
set;5;
firm;4;
plans;19;
spend;3;
nought;1;
seven;1;
cent;1;
gross;1;
income;5;
official;4;
development;1;
assistance;5;
2013;2;
time;2;
united;4;
kingdom;5;
met;4;
international;19;
commitment;1;
build;1;
strategic;1;
partnerships;3;
emerging;6;
powers;5;
assume;4;
presidency;3;
g8;3;
2013:;1;
opportunity;1;
prosperity;1;
diamond;1;
jubilee;3;
prince;4;
philip;1;
celebrations;4;
travelling;2;
widely;1;
festivities;3;
throughout;1;
look;1;
london;1;
olympic;1;
paralympic;1;
games;1;
welcoming;9;
visitors;5;
world;2;
venues;2;
country;1;
pray;10;
blessing;4;
almighty;1;
god;19;
rest;5;
counsels;9;
